Tabel 2  Omvang huurvoorraad in vier klassen,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,tot € 425,€ 425-575,€ 575-681,> € 681,totaal
F76,0.6,0.31,0.06,0.02,1
F77,0.62,0.29,0.07,0.02,1
F78(F75),0.35,0.32,0.21,0.12,1
F79,0,0.23,0.4,0.37,1
F81,0.48,0.43,0.07,0.02,1
F82,0.23,0.47,0.15,0.15,1
F83,0.45,0.4,0.08,0.07,1
F84/F80,0.21,0.33,0.25,0.21,1
F85abc,0.28,0.48,0.16,0.07,1
F85defg,0.22,0.48,0.19,0.1,1
F86,0.28,0.29,0.13,0.29,1
F87,0.29,0.35,0.15,0.21,1
F88,0.01,0.24,0.23,0.52,1
totaal,0.36,0.36,0.14,0.14,1
de betrouwbaarheidsmarges liggen tussen 3% en 10%,,,,,
