Stadsdeel,koopwoningen,corporatie-woningen,particuliere huurwoningen,< 425,425-575,575-681,> 681,Gemiddeld inkomen,lage inkomens,laag - EU-grens,EU-grens - 43.785,"43.785 - 1,5x modaal","1,5 - 2 x modaal",> 2x modaal,op kamers/studentenwoning,inwonend bij ouders/familie/vrienden,zelfstandige huurwoning van particulier,zelfstandige huurwoning van woningcorporatie,koopwoning,anders/weet niet,18- 25 jaar,26- 34 jaar,35- 39 jaar,40- 49 jaar,50- 64 jaar,>= 65 jaar,lager onderwijs,lager middelbaar,hoger middelbaar,HBO/WO
Centrum,0.36,0.31,0.33,0.45,0.29,0.07,0.18,2743.0,0.27,0.17,0.13,0.06,0.09,0.29,0.11,0.1,0.31,0.25,0.19,0.05,0.02,0.14,0.08,0.2,0.35,0.2,0.03,0.15,0.31,0.51
A00,0.24,0.17,0.59,0.41,0.19,0.1,0.31,,,,,,,,,,,,,,,,,,,,,,,
A01,0.23,0.06,0.71,0.31,0.26,0.14,0.3,,,,,,,,,,,,,,,,,,,,,,,
A02,0.55,0.03,0.42,0.31,0.12,0.06,0.51,,,,,,,,,,,,,,,,,,,,,,,
A03,0.48,0.14,0.38,0.31,0.17,0.02,0.51,,,,,,,,,,,,,,,,,,,,,,,
A04,0.31,0.38,0.31,0.33,0.38,0.12,0.17,,,,,,,,,,,,,,,,,,,,,,,
A05,0.31,0.44,0.24,0.42,0.32,0.17,0.09,,,,,,,,,,,,,,,,,,,,,,,
A06,0.33,0.37,0.3,0.59,0.24,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,
A07,0.5,0.11,0.39,0.4,0.37,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,
A08,0.32,0.29,0.38,0.59,0.23,0.04,0.14,,,,,,,,,,,,,,,,,,,,,,,
A09,0.32,0.6,0.08,0.45,0.42,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,
West,0.29,0.43,0.28,0.55,0.27,0.08,0.11,2385.0,0.34,0.17,0.15,0.06,0.09,0.2,0.12,0.17,0.27,0.29,0.08,0.06,0.03,0.21,0.14,0.2,0.28,0.14,0.03,0.28,0.3,0.39
Nieuw-West,0.32,0.55,0.13,0.36,0.36,0.14,0.14,2312.0,0.31,0.17,0.17,0.07,0.1,0.17,0.03,0.16,0.15,0.49,0.13,0.04,0.02,0.14,0.1,0.2,0.3,0.25,0.02,0.43,0.37,0.18
Zuid,0.32,0.3,0.38,0.41,0.28,0.11,0.21,2887.0,0.26,0.16,0.13,0.05,0.11,0.28,0.11,0.14,0.31,0.24,0.16,0.04,0.03,0.16,0.11,0.15,0.29,0.25,0.02,0.22,0.31,0.45
Oost,0.32,0.51,0.17,0.4,0.35,0.1,0.15,2596.0,0.3,0.15,0.15,0.05,0.08,0.27,0.09,0.13,0.21,0.4,0.13,0.05,0.04,0.15,0.12,0.22,0.3,0.17,0.02,0.29,0.31,0.38
Noord,0.29,0.67,0.04,0.38,0.4,0.13,0.09,2146.0,0.39,0.18,0.13,0.06,0.08,0.16,0.04,0.16,0.13,0.54,0.1,0.03,0.03,0.12,0.09,0.19,0.31,0.26,0.02,0.46,0.36,0.15
Zuidoost,0.3,0.61,0.09,0.26,0.46,0.18,0.1,2014.0,0.44,0.14,0.15,0.04,0.09,0.13,0.04,0.21,0.1,0.52,0.08,0.03,0.05,0.14,0.09,0.21,0.31,0.21,0.03,0.43,0.4,0.14
Amsterdam,0.32,0.46,0.22,0.41,0.33,0.11,0.14,2489.0,0.32,0.16,0.14,0.06,0.09,0.23,0.1,0.16,0.22,0.35,0.13,0.05,0.06,0.18,0.11,0.18,0.28,0.19,0.03,0.29,0.33,0.35
