Stadsdeel,koopwoningen,corporatie-woningen,particuliere huurwoningen,< 425,425-575,575-681,> 681,Gemiddeld inkomen,lage inkomens,laag - EU-grens,EU-grens - 43.785,"43.785 - 1,5x modaal","1,5 - 2 x modaal",> 2x modaal,op kamers/studentenwoning,inwonend bij ouders/familie/vrienden,zelfstandige huurwoning van particulier,zelfstandige huurwoning van woningcorporatie,koopwoning,anders/weet niet,18- 25 jaar,26- 34 jaar,35- 39 jaar,40- 49 jaar,50- 64 jaar,>= 65 jaar,lager onderwijs,lager middelbaar,hoger middelbaar,HBO/WO
Centrum,0.36,0.31,0.33,0.45,0.29,0.07,0.18,2743.0,0.27,0.17,0.13,0.06,0.09,0.29,0.11,0.1,0.31,0.25,0.19,0.05,0.02,0.14,0.08,0.2,0.35,0.2,0.03,0.15,0.31,0.51
A00,0.24,0.17,0.59,0.41,0.19,0.1,0.31,,,,,,,,,,,,,,,,,,,,,,,
A01,0.23,0.06,0.71,0.31,0.26,0.14,0.3,,,,,,,,,,,,,,,,,,,,,,,
A02,0.55,0.03,0.42,0.31,0.12,0.06,0.51,,,,,,,,,,,,,,,,,,,,,,,
A03,0.48,0.14,0.38,0.31,0.17,0.02,0.51,,,,,,,,,,,,,,,,,,,,,,,
A04,0.31,0.38,0.31,0.33,0.38,0.12,0.17,,,,,,,,,,,,,,,,,,,,,,,
A05,0.31,0.44,0.24,0.42,0.32,0.17,0.09,,,,,,,,,,,,,,,,,,,,,,,
A06,0.33,0.37,0.3,0.59,0.24,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,
A07,0.5,0.11,0.39,0.4,0.37,0.03,0.2,,,,,,,,,,,,,,,,,,,,,,,
A08,0.32,0.29,0.38,0.59,0.23,0.04,0.14,,,,,,,,,,,,,,,,,,,,,,,
A09,0.32,0.6,0.08,0.45,0.42,0.03,0.1,,,,,,,,,,,,,,,,,,,,,,,
West,0.29,0.43,0.28,0.55,0.27,0.08,0.11,2385.0,0.34,0.17,0.15,0.06,0.09,0.2,0.12,0.17,0.27,0.29,0.08,0.06,0.03,0.21,0.14,0.2,0.28,0.14,0.03,0.28,0.3,0.39
E12,0.2,0.67,0.12,0.53,0.32,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,
E13,0.2,0.67,0.12,0.53,0.32,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,
E14,0.34,0.5,0.16,0.57,0.31,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,
E15,0.31,0.43,0.25,0.57,0.24,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,
E16,0.31,0.43,0.25,0.57,0.24,0.04,0.15,,,,,,,,,,,,,,,,,,,,,,,
E17,0.37,0.23,0.4,0.39,0.26,0.07,0.28,,,,,,,,,,,,,,,,,,,,,,,
E18,0.24,0.4,0.36,0.63,0.21,0.11,0.04,,,,,,,,,,,,,,,,,,,,,,,
E19,0.22,0.54,0.24,0.61,0.25,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,
E20,0.38,0.22,0.39,0.38,0.28,0.13,0.22,,,,,,,,,,,,,,,,,,,,,,,
E21,0.4,0.2,0.4,0.52,0.26,0.02,0.21,,,,,,,,,,,,,,,,,,,,,,,
E22,0.38,0.22,0.39,0.38,0.28,0.13,0.22,,,,,,,,,,,,,,,,,,,,,,,
E36,0.18,0.54,0.29,0.6,0.23,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,
E37,0.24333333333333332,0.5033333333333333,0.25666666666666665,0.5666666666666668,0.26333333333333336,0.10000000000000002,0.06333333333333334,,,,,,,,,,,,,,,,,,,,,,,
E37ab/E3,0.18,0.54,0.29,0.6,0.23,0.12,0.04,,,,,,,,,,,,,,,,,,,,,,,
E37c,0.26,0.52,0.22,0.54,0.31,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,
E37de,0.29,0.45,0.26,0.56,0.25,0.1,0.09,,,,,,,,,,,,,,,,,,,,,,,
E38,0.46,0.19,0.35,0.48,0.36,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,
E39,0.18,0.74,0.08,0.62,0.16,0.13,0.08,,,,,,,,,,,,,,,,,,,,,,,
E40,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E40abc,0.37,0.21,0.42,0.57,0.2,0.08,0.15,,,,,,,,,,,,,,,,,,,,,,,
E40defg,0.26,0.45,0.29,0.53,0.35,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,
E41,0.23,0.51,0.26,0.6,0.23,0.1,0.07,,,,,,,,,,,,,,,,,,,,,,,
E42,0.24,0.43,0.33,0.61,0.29,0.04,0.06,,,,,,,,,,,,,,,,,,,,,,,
E43,0.31,0.21,0.48,0.33,0.4,0.13,0.14,,,,,,,,,,,,,,,,,,,,,,,
Nieuw-West,0.32,0.55,0.13,0.36,0.36,0.14,0.14,2312.0,0.31,0.17,0.17,0.07,0.1,0.17,0.03,0.16,0.15,0.49,0.13,0.04,0.02,0.14,0.1,0.2,0.3,0.25,0.02,0.43,0.37,0.18
F75,0.22,0.7,0.08,0.35,0.32,0.21,0.12,,,,,,,,,,,,,,,,,,,,,,,
F76,0.28,0.67,0.05,0.6,0.31,0.06,0.02,,,,,,,,,,,,,,,,,,,,,,,
F77,0.24,0.72,0.04,0.62,0.29,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,
F78,0.22,0.7,0.08,0.35,0.32,0.21,0.12,,,,,,,,,,,,,,,,,,,,,,,
F79,0.48,0.52,0.0,0.0,0.23,0.4,0.37,,,,,,,,,,,,,,,,,,,,,,,
F80,0.58,0.29,0.13,0.21,0.33,0.25,0.21,,,,,,,,,,,,,,,,,,,,,,,
F81,0.27,0.63,0.1,0.48,0.43,0.07,0.02,,,,,,,,,,,,,,,,,,,,,,,
F82,0.31,0.62,0.07,0.23,0.47,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,
F83,0.45,0.52,0.04,0.45,0.4,0.08,0.07,,,,,,,,,,,,,,,,,,,,,,,
F84,0.58,0.29,0.13,0.21,0.33,0.25,0.21,,,,,,,,,,,,,,,,,,,,,,,
F85,0.27999999999999997,0.57,0.15,0.25,0.48,0.175,0.085,,,,,,,,,,,,,,,,,,,,,,,
F85abc,0.35,0.44,0.21,0.28,0.48,0.16,0.07,,,,,,,,,,,,,,,,,,,,,,,
F85defg,0.21,0.7,0.09,0.22,0.48,0.19,0.1,,,,,,,,,,,,,,,,,,,,,,,
